artist_id,artist_name,followers
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,169306882.0
06HL4z0CvFAxyc27GXpf02,Taylor Swift,148838440.0
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,124012436.0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,121278701.0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,116219359.0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,108715805.0
7dGJo4pcD2V6oG8kP0tJRR,Eminem,106214551.0
4q3ewBCX7sLwd24euuV69X,Bad Bunny,105635803.0
3TVXtAsR1Inumwj472S9r4,Drake,105373671.0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,86071004.0
3Nrfpe0tUJi4K4DXYWgMUX,BTS,81808562.0
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,77355363.0
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,73535164.0
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,70466718.0
4dpARuHxo51G3z768sgnrY,Adele,67919987.0
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,61853007.0
790FomKkXshlbRYZFtlgla,KAROL G,61723613.0
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,58810081.0
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,56907762.0
1dfeR4HaWDbWqFHLkxsg1d,Queen,55813766.0
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,53581987.0
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,53507293.0
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,52361761.0
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,50322453.0
246dkjvS1zLTtiykXe5h60,Post Malone,48013165.0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,47312573.0
4PULA4EFzYTrxYvOVlwpiQ,Sidhu Moose Wala,46756687.0
04gDigrS5kc9YWfZHwBETP,Maroon 5,46364132.0
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,46034221.0
2R21vXR83lH98kGeO99Y66,Anuel AA,45898537.0
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,45674032.0
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,45174425.0
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,43713096.0
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,43476331.0
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,42406062.0
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,42031792.0
6vWDO969PvNqNYHIOW5v0m,Beyoncé,41705782.0
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,41460636.0
0EmeFodog0BfCgMzAIvKQp,Shakira,40681041.0
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,40535344.0
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,39754532.0
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,39562288.0
1r4hJ1h58CWwUQe3MxPuau,Maluma,39253635.0
1yR65psqiazQpeM79CcGh8,Marília Mendonça,39023905.0
6jJ0s89eD6GaHleKKya26X,Katy Perry,39017315.0
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,38565197.0
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,38323962.0
7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,38077285.0
2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,37617227.0
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,35894562.0
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,35840272.0
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,35509945.0
64KEffDW9EtZ1y2vBYgq8T,Marshmello,34603365.0
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,34447297.0
6KImCVD70vtIoJWnq6nGn3,Harry Styles,34411820.0
7tYKF4w9nC0nq9CsPZTHyP,SZA,34096826.0
2ye2Wgw4gimLv2eAKyk1NB,Metallica,32892835.0
711MCceyCBcFnzjGY4Q7Un,AC/DC,32834440.0
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,32801447.0
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,32633134.0
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,32021811.0
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,31637668.0
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,31146603.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,31083223.0
5WUlDfRSoLAfcVSX1WnrxN,Sia,30825798.0
7Gi6gjaWy3DxyilpF1a8Is,Junior H,29553360.0
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,29255349.0
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,28273516.0
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,27417727.0
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,27333125.0
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,27316802.0
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,26986150.0
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,26862253.0
2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval,26634587.0
2wY79sveU1sp5g7SokKOiI,Sam Smith,26606873.0
4kYSro6naA4h99UJvo89HB,Cardi B,26237292.0
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,25963932.0
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,25633653.0
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",25263506.0
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,24933053.0
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,24545407.0
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,24481943.0
1URnnhqYAYcrqrcwql10ft,21 Savage,24429302.0
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,24303192.0
6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,24149622.0
6olE6TJLqED3rqDCT0FyPh,Nirvana,23970716.0
7n2Ycct7Beij7Dj7meI4X0,TWICE,23875069.0
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,23605564.0
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,23602748.0
1vCWHaC5f2uS3yhpwWbIA6,Avicii,23515206.0
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,23242725.0
1RyvyyTE3xzB2ZywiAwp0i,Future,23212607.0
7CajNmpbOovFoOoasH2HaY,Calvin Harris,23185281.0
1ZwdS5xdxEREPySFridCfh,2Pac,23070782.0
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,23050417.0
7iK8PXO48WeuP03g8YR51W,Myke Towers,22620666.0
26VFTg2z8YR0cCuwLzESi2,Halsey,22577368.0
0elWFr7TW8piilVRYJUe4P,Natanael Cano,22465537.0
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,22319277.0
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,22184807.0
5f7VJjfbwm532GiveGC0ZK,Lil Baby,22130353.0
2dIgFjalVxs4ThymZ67YCE,Stray Kids,21738696.0
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,21657404.0
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,21508575.0
4IWBUUAFIplrNtaOHcJPRM,James Arthur,21099522.0
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,21094378.0
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,20893082.0
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,20878993.0
28gNT5KBp7IjEOQoevXf9N,Camilo,20548162.0
3JsHnjpbhX4SnySpvpa9DK,V,20223547.0
07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,19893920.0
2iDVt6mFbtbDEZG5ax0dTi,Tulus,19594153.0
0b1sIQumIAsNbqAoIClSpy,j-hope,19557407.0
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,19557396.0
3q7HBObVc0L8jNeTe5Gofh,50 Cent,19542518.0
3wOsYKZM0zcKNasi3I7fP4,Mahalini,19429042.0
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,19391026.0
2LRoIwlKmHjgvigdNGBHNo,Feid,19343943.0
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,18971353.0
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,18941706.0
55Aa2cqylxrFIXC767Z865,Lil Wayne,18383952.0
1KCSPY1glIKqW2TotWuXOR,P!nk,18348550.0
4SsVbpTthjScTS7U2hmr1X,Arcángel,18243927.0
26dSoYclwsYLMAKD3tpOr4,Britney Spears,18203021.0
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,17970164.0
66ihevNkSYNzRAl44dx6jJ,Carín León,17928786.0
2auC28zjQyVTsiZKNgPRGs,RM,17894282.0
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,17670607.0
7oPftvlwr6VrsViSDV7fJY,Green Day,17646651.0
329e4yvIujISKGKz1BZZbO,Farruko,17284956.0
6LuN9FCkKOj5PcnpouEgny,Khalid,17053775.0
33ScadVnbm2X8kkUqOkC6Z,Don Omar,16970008.0
4obzFoKoKRHIphyHzJ35G3,Becky G,16859557.0
1wGIhYkKWSq4yACtTkCkSX,Canserbero,16774542.0
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,16298814.0
0XwVARXT135rw8lyw1EeWP,Christian Nodal,16246080.0
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,16209856.0
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,16195872.0
58lV9VcRSjABbAbfWS6skp,Bon Jovi,16149348.0
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,16132278.0
31TPClRtHm23RisEBtV3X7,Justin Timberlake,16118162.0
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,16100042.0
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,15963171.0
1dKdetem2xEmjgvyymzytS,Grupo Firme,15962049.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,15919764.0
3PhoLpVuITZKcymswpck5b,Elton John,15834074.0
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,15776708.0
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,15755663.0
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,15723291.0
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,15570741.0
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,15493416.0
4bAgr9zaF0bpzVGHdHuf0f,Virgoun,15486496.0
0LcJLqbBmaGUft1e9Mm8HV,ABBA,15262857.0
0E02VcvA5p1ndkLdqWD5JB,Ankit Tiwari,15138665.0
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15135723.0
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,14978612.0
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,14796613.0
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,14793546.0
3wcj11K77LjEY1PkEazffa,Burna Boy,14776063.0
6oMuImdp5ZcFhWP0ESe6mG,Migos,14769624.0
0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,14716219.0
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,14585764.0
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,14507317.0
05fG473iIaoy82BF1aGhL8,Slipknot,14441947.0
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,14428162.0
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,14337355.0
5nP8x4uEFjAAmDzwOEc9b8,Matuê,14323700.0
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,14222688.0
1v1khTmozNfxB2ET1Ep288,Last Child,14168554.0
5C4PDR4LnhZTbVnKWXuDKD,Morat,14159702.0
23zg3TcAtWQy7J6upgbUnj,USHER,14076131.0
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,14017058.0
7okwEbXzyT2VffBmyQBWLz,Maná,13891457.0
3eVa5w3URK5duf6eyVDbu9,ROSÉ,13854046.0
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,13829994.0
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,13822001.0
4PPoI9LuYeFX8V674Z1R6l,Vicente Fernández,13785440.0
5L1lO4eRHmJ7a0Q6csE5cT,LISA,13774936.0
51Blml2LZPmy7TTiAg47vQ,U2,13743128.0
6q87vizIEdEN4NvlR6mjfT,Sheila On 7,13722389.0
718COspgdWOnwOFpJHRZHS,Luke Combs,13620629.0
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,13605429.0
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,13517883.0
1bAftSH8umNcGZ0uyV7LMg,Duki,13514644.0
7FsRH5bw8iWpSbMX1G7xf1,Joan Sebastian,13481831.0
4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,13462029.0
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,13362534.0
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,13301106.0
6AgTAQt8XS6jRWi4sX7w49,Polo G,13293912.0
7FNnA9vBm6EKceENgCGRMb,Anitta,13283225.0
4jogXSSvlyMkODGSZ2wc2P,Calibre 50,13278225.0
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,13152312.0
0Y6dVaC9DZtPNH4591M42W,TV Girl,13144329.0
4r63FhuTkUYltbVAg5TQnk,DaBaby,13102525.0
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,13086778.0
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,13084557.0
3IW7ScrzXmPvZhB27hmfgy,Jul,13077321.0
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,13027996.0
250b0Wlc5Vk0CoUsaCY84M,JENNIE,13013134.0
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,13006175.0
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,12807260.0
2DaxqgrOhkeH0fpeiQq2f4,Oasis,12784093.0
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,12702571.0
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,12702437.0
4W91bbPB2CTSsHwt7eqNl7,Javed Ali,12683896.0
50co4Is1HCEo8bhOyUWKpn,Young Thug,12659147.0
51kyrUsAVqUBcoDEMFkX12,Hindia,12609609.0
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,12606001.0
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,12505999.0
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,12501707.0
6Te49r3A6f5BiIgBRxH7FH,Ninho,12498926.0
4LLpKhyESsyAXpc4laK94U,Mac Miller,12347409.0
0ECwFtbIWEVNwjlrfc6xoL,Eagles,12337810.0
3e7awlrlDSwF3iM0WBjGMp,Little Mix,12334320.0
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,12329696.0
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,12321332.0
2gsggkzM5R49q6jpPvazou,Jessie J,12266108.0
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,12252215.0
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,12232643.0
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,12214357.0
0TnOYISbd1XYRBk9myaseg,Pitbull,12192676.0
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,12143094.0
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,12128579.0
6HvZYsbFfjnjFrWF950C9d,NewJeans,12040002.0
6wWVKhxIU2cEi0K81v7HvP,Rammstein,12031531.0
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,12021811.0
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,11966414.0
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,11922857.0
5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,11871805.0
20zafXaLhm5IcXnSU93rNn,Nadin Amizah,11860052.0
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,11802941.0
48bKH1ugFBhERC1rdojP9d,Dewa 19,11778099.0
1bfl0AU8SqmLkElptOprhC,Julión Álvarez y su Norteño Banda,11705377.0
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,11536079.0
6fOMl44jA4Sp5b9PpYCkzz,NF,11405050.0
4mN0qcMxWX8oToqfDPM5yV,José José,11346956.0
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,11316639.0
07XSN3sPlIlB2L2XNcTwJw,KISS,11248207.0
2uYWxilOVlUdk4oV9DvwqK,Mitski,11247977.0
