album_name,popularity,rank,artist_names
DeBÍ TiRAR MáS FOToS,98,2,Bad Bunny
HIT ME HARD AND SOFT,98,3,Billie Eilish
The Secret of Us (Deluxe),96,7,Gracie Abrams
Black Panther The Album Music From And Inspired By,95,9,Kendrick Lamar|SZA
GNX,94,12,Kendrick Lamar|SZA
Hurry Up Tomorrow,93,21,The Weeknd|Playboi Carti
Ruby,93,22,JENNIE
AM,92,26,Arctic Monkeys
Alligator Bites Never Heal,92,28,Doechii
MUSIC,92,30,Playboi Carti
Fireworks & Rollerblades,91,32,Benson Boone
Dizzy up the Girl,91,33,The Goo Goo Dolls
Parachutes,91,34,Coldplay
I Love You.,91,35,The Neighbourhood
Flower Boy,91,36,"Tyler, The Creator|Kali Uchis"
$ome $exy $ongs 4 U,91,38,Drake
Short n' Sweet (Deluxe),91,39,Sabrina Carpenter
CHROMAKOPIA,91,40,"Tyler, The Creator|Lola Young"
I've Tried Everything But Therapy (Part 1),91,41,Teddy Swims
Short n' Sweet,91,42,Sabrina Carpenter
Unorthodox Jukebox,90,45,Bruno Mars
Strange Trails,90,50,Lord Huron
Synchronicity (Remastered 2003),90,51,The Police
Cosa Nuestra,90,52,Rauw Alejandro|Bad Bunny
Submarine,90,53,The Marías
DECIDE,90,54,Djo
So Close To What,90,59,Tate McRae
The Secret of Us,90,60,Gracie Abrams
Boy Meets World,89,67,Sleepy Hallow|Doechii
MUSE,89,68,Jimin
Mi Vida Mi Muerte,89,69,Neton Vega|Peso Pluma
INCÓMODO,89,71,Tito Double P|Peso Pluma
FERXXOCALIPSIS,89,72,Feid|ATL Jacob
After Hours,89,73,The Weeknd
Memories...Do Not Open,89,75,The Chainsmokers|Coldplay
Pablo Honey,89,76,Radiohead
A Rush of Blood to the Head,89,77,Coldplay
Starboy,89,78,The Weeknd|Daft Punk
DAMN.,89,80,Kendrick Lamar
FOUR (Deluxe),89,81,One Direction
÷ (Deluxe),89,82,Ed Sheeran
Ghost Stories,89,84,Coldplay
24K Magic,89,85,Bruno Mars
Love Sick (Deluxe),89,86,Don Toliver
SOS Deluxe: LANA,89,89,SZA
Speak for Yourself (Deluxe Version),89,91,Imogen Heap
SOS,89,93,SZA
Lover,89,94,Taylor Swift
Doo-Wops & Hooligans,88,97,Bruno Mars
LA CIUDAD,88,100,Alleh|Yorghaki
French Exit,88,105,TV Girl
The Land Is Inhospitable and So Are We,88,106,Mitski
WE DON'T TRUST YOU,88,108,Future|Metro Boomin|Kendrick Lamar
Harry's House,88,109,Harry Styles
Rumours (Super Deluxe),88,110,Fleetwood Mac
Hybrid Theory (Bonus Edition),88,111,Linkin Park
Viva La Vida or Death and All His Friends,88,112,Coldplay
Demon Days,88,113,Gorillaz|De La Soul
Meteora,88,114,Linkin Park
Hot Fuss,88,115,The Killers
The Eminem Show,88,116,Eminem
Cigarettes After Sex,88,117,Cigarettes After Sex
Blonde,88,118,Frank Ocean
Planet Pit (Deluxe Version),88,119,Pitbull|AFROJACK|Ne-Yo|Nayer
Chase Atlantic,88,120,Chase Atlantic
rosie,88,130,ROSÉ
The Rise and Fall of a Midwest Princess,88,131,Chappell Roan
Unwritten,88,132,Natasha Bedingfield
Endless Summer Vacation,88,133,Miley Cyrus
eternal sunshine,88,134,Ariana Grande
THE FIRST TIME,87,141,The Kid LAROI
Favourite Worst Nightmare,87,143,Arctic Monkeys
Zach Bryan,87,144,Zach Bryan|Kacey Musgraves
Encore (Deluxe Version),87,146,Eminem
UTOPIA,87,147,Travis Scott|Playboi Carti
Stick Season,87,149,Noah Kahan
Gangsta's Paradise,87,151,Coolio|L.V.
X&Y,87,152,Coldplay
Divinely Uninspired To A Hellish Extent,87,154,Lewis Capaldi
Hunting High and Low,87,156,a-ha
Appetite For Destruction,87,157,Guns N' Roses
Toto IV,87,158,TOTO
Songs From The Big Chair (Super Deluxe Edition),87,159,Tears For Fears
Jungle Rules,87,160,French Montana|Swae Lee
Uptown Special,87,161,Mark Ronson|Bruno Mars
Views,87,162,Drake|Wizkid|Kyla
Love In The Future (Expanded Edition),87,163,John Legend
Birds In The Trap Sing McKnight,87,164,Travis Scott
Safe Haven,87,165,Ruth B.
x (Deluxe Edition),87,166,Ed Sheeran
True,87,167,Avicii
Evolve,87,168,Imagine Dragons
Native,87,169,OneRepublic
Long Way Down (Deluxe),87,170,Tom Odell
"You'll Be Alright, Kid (Chapter 1)",87,174,Alex Warren
I've Tried Everything But Therapy (Part 2),87,176,Teddy Swims
TYLA +,87,179,Tyla
MAYHEM,87,180,Lady Gaga
emails i can't send,87,181,Sabrina Carpenter
SOUR,87,183,Olivia Rodrigo
Alone At Prom,86,188,Tory Lanez
Who Really Cares,86,190,TV Girl
I Am Not A Human Being II (Deluxe),86,193,Lil Wayne|Drake|Future
OASIS,86,199,J Balvin|Bad Bunny
The Heist,86,200,Macklemore|Ryan Lewis|Macklemore & Ryan Lewis|Ray Dalton
Escape (2022 Remaster),86,203,Journey
What Happens Now?,86,204,Dasha
emails i can’t send fwd:,86,205,Sabrina Carpenter
Dreamland,86,206,Glass Animals
Hard To Imagine The Neighbourhood Ever Changing,86,207,The Neighbourhood
Brat and it’s completely different but also still brat,86,209,Charli xcx|Billie Eilish
PRIMERA MUSA,86,212,Omar Courtz|De La Rose
Norman Fucking Rockwell!,86,215,Lana Del Rey
Kid Krow,86,216,Conan Gray
The Razors Edge,86,217,AC/DC
Silver Side Up,86,218,Nickelback
Hopes And Fears,86,219,Keane
Fallen,86,220,Evanescence
By the Way (Deluxe Edition),86,221,Red Hot Chili Peppers
The Marshall Mathers LP,86,223,Eminem
Loose,86,224,Nelly Furtado|Timbaland
Confessions (Expanded Edition),86,225,USHER|Lil Jon|Ludacris
Currents,86,226,Tame Impala
Hollywood's Bleeding,86,227,Post Malone
TALKING IS HARD,86,228,WALK THE MOON
Wiped Out!,86,230,The Neighbourhood
We Love You Tecca,86,231,Lil Tecca
All I Want Is You,86,232,Miguel
2014 Forest Hills Drive,86,233,J. Cole
Midnight Memories (Deluxe),86,234,One Direction
channel ORANGE,86,236,Frank Ocean
Harry Styles,86,237,Harry Styles
Global Warming: Meltdown (Deluxe Version),86,238,Pitbull|Kesha
Torches,86,239,Foster The People
Goodbye & Good Riddance,86,240,Juice WRLD
Encore,86,241,DJ Snake|Justin Bieber
ANTI (Deluxe),86,242,Rihanna
Illuminate (Deluxe),86,243,Shawn Mendes
Beauty Behind The Madness,86,244,The Weeknd
Restless Mind,86,251,Sam Barber|Avery Anna
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",86,255,Billie Eilish
Good Girl Gone Bad: Reloaded,86,256,Rihanna
"Oral Fixation, Vol. 2 (Expanded Edition)",86,259,Shakira|Wyclef Jean
Overexposed Track By Track,85,264,Maroon 5|Wiz Khalifa
EVOL,85,267,Future|The Weeknd
IGOR,85,270,"Tyler, The Creator"
D-DAY,85,271,Agust D
Camp,85,276,Childish Gambino
Indigo (Extended),85,284,Chris Brown
Happier Than Ever,85,285,Billie Eilish
Radical Optimism,85,287,Dua Lipa
Toxicity,85,288,System Of A Down
Traveller,85,290,Chris Stapleton
PARTYNEXTDOOR 4 (P4),85,291,PARTYNEXTDOOR
=,85,294,Ed Sheeran
Beatopia,85,295,beabadoobee
Cry,85,296,Cigarettes After Sex
Being Funny In A Foreign Language,85,297,The 1975
Twilight,85,298,bôa
ÉXODO,85,300,Peso Pluma|Neton Vega
No Need To Argue (The Complete Sessions 1994-1995),85,304,The Cranberries
"Everybody Else Is Doing It, So Why Can't We?",85,305,The Cranberries
So Tonight That I Might See,85,306,Mazzy Star
Out Of Time (25th Anniversary Edition),85,307,R.E.M.
Hotel California (2013 Remaster),85,308,Eagles
Highway to Hell,85,309,AC/DC
Pendulum (Expanded Edition),85,310,Creedence Clearwater Revival
808s & Heartbreak,85,311,Kanye West
Graduation,85,313,Kanye West|Dwele
Konvicted,85,314,Akon|Eminem
Fine Line,85,315,Harry Styles
Up All Night,85,316,One Direction
T R A P S O U L,85,317,Bryson Tiller
The Days / Nights,85,318,Avicii
Agent Provocateur,85,320,Foreigner
Arrival,85,321,ABBA
Loud (Japan Version),85,323,Rihanna
Globalization,85,324,Pitbull|Ne-Yo
Only By The Night,85,325,Kings of Leon
The Truth About Love,85,326,P!nk|Nate Ruess
Back from the Edge,85,327,James Arthur
Motion,85,328,Calvin Harris
A Head Full of Dreams,85,331,Coldplay
Blurryface,85,332,Twenty One Pilots
Raymond v Raymond (Expanded Edition),85,333,USHER|Pitbull
Recovery,85,334,Eminem|Rihanna
"My Dear Melancholy,",85,335,The Weeknd
In A Tidal Wave of Mystery,85,336,Capital Cities
Illuminate,85,337,Shawn Mendes
Mylo Xyloto,85,338,Coldplay
Purpose (Deluxe),85,339,Justin Bieber
HARDSTONE PSYCHO,85,344,Don Toliver
Unreal Unearth: Unaired,85,345,Hozier
This Is How Tomorrow Moves,85,348,beabadoobee
F-1 Trillion,85,353,Post Malone|Morgan Wallen
My Everything (Deluxe),85,356,Ariana Grande
A Star Is Born Soundtrack (Without Dialogue),85,357,Lady Gaga
GUTS,85,360,Olivia Rodrigo
folklore,85,362,Taylor Swift
In The Zone,85,363,Britney Spears
Animal (Expanded Edition),85,365,Kesha
The Fame Monster (Deluxe Edition),85,367,Lady Gaga
Hozier,84,376,Hozier
Night Visions,84,377,Imagine Dragons
V,84,380,Maroon 5
Luv Is Rage 2 (Deluxe),84,382,Lil Uzi Vert
My World 2.0,84,383,Justin Bieber|Ludacris
Talk That Talk,84,384,Rihanna|Calvin Harris
The Fame,84,392,Lady Gaga
Shock Value,84,393,Timbaland|Keri Hilson|D.O.E.
HNDRXX,84,394,Future
$AD BOYZ 4 LIFE II,84,396,Junior H
PARTYNEXTDOOR,84,403,PARTYNEXTDOOR
YOU,84,407,James Arthur
Audioslave,84,408,Audioslave
This One's for You,84,409,Luke Combs
Starting Over,84,410,Chris Stapleton
One Thing At A Time,84,411,Morgan Wallen|ERNEST
Justice,84,412,Justin Bieber
LA PANTERA NEGRA (DELUXE),84,413,Myke Towers|benny blanco
Tell Me It's Real (Expanded Edition),84,418,Seafret
Born To Die - The Paradise Edition,84,419,Lana Del Rey
Ultraviolence (Deluxe),84,420,Lana Del Rey
Gemini Rights,84,422,Steve Lacy
K.I.D.S. (Deluxe),84,423,Mac Miller|Empire Of The Sun
CINEMA,84,424,The Marías
Pineapple Sunrise,84,425,Beach Weather
Death of a Party Girl,84,426,TV Girl
"Come Over When You're Sober, Pt. 2",84,427,Lil Peep|XXXTENTACION
I NEVER LIKED YOU,84,428,Future|Drake|Tems
17,84,429,XXXTENTACION|Trippie Redd
GOLDEN,84,431,Jung Kook
"good kid, m.A.A.d city",84,432,Kendrick Lamar|Jay Rock
nadie sabe lo que va a pasar mañana,84,434,Bad Bunny|Feid
HEROES & VILLAINS,84,435,Metro Boomin|Future|Don Toliver
Un Verano Sin Ti,84,437,Bad Bunny|Bomba Estéreo
Abbey Road (Remastered),84,442,The Beatles
Dream Your Life Away (Deluxe Edition),84,443,Vance Joy
Gettin' Old,84,444,Luke Combs
The Colour And The Shape,84,446,Foo Fighters
OK Computer,84,447,Radiohead
Blood Sugar Sex Magik (Deluxe Edition),84,448,Red Hot Chili Peppers
Nevermind (Remastered),84,449,Nirvana
Sixpence None the Richer,84,450,Sixpence None The Richer
Dire Straits,84,451,Dire Straits
Dynasty,84,452,KISS
Walking On A Dream (10th Anniversary Edition),84,454,Empire Of The Sun
Californication (Deluxe Edition),84,455,Red Hot Chili Peppers
Elephant,84,456,The White Stripes
How To Save A Life,84,457,The Fray
To Pimp A Butterfly,84,458,Kendrick Lamar
Stankonia,84,460,Outkast
Songs About Jane: 10th Anniversary Edition,84,462,Maroon 5
Blackout,84,464,Britney Spears
ASTROWORLD,84,467,Travis Scott
JORDI (Deluxe),84,468,Maroon 5
Hot Pink,84,469,Doja Cat
Chosen,84,470,Måneskin
Too Low For Zero,84,473,Elton John
Born In The U.S.A.,84,474,Bruce Springsteen
Sweet Dreams (Are Made Of This),84,475,Eurythmics|Annie Lennox|Dave Stewart
Back In Black,84,476,AC/DC
Mail on Sunday,84,478,Flo Rida|T-Pain
18 Months,84,479,Calvin Harris
FUTURE,84,480,Future
Don't Kill the Magic,84,483,MAGIC!
"Save Me, San Francisco (Golden Gate Edition)",84,484,Train
More Life,84,485,Drake
In The Lonely Hour,84,486,Sam Smith
Handwritten,84,487,Shawn Mendes
Millennium,84,488,Backstreet Boys
I met you when I was 18. (the playlist),84,491,Lauv
From Zero,84,497,Linkin Park
Forever Young,84,499,Alphaville
Alter Ego,84,503,LISA|Future
THE TORTURED POETS DEPARTMENT,84,506,Taylor Swift|Post Malone
"thank u, next",84,507,Ariana Grande
reputation,84,509,Taylor Swift
Planet Her,84,510,Doja Cat|SZA
Let Go,84,513,Avril Lavigne
A Star Is Born Soundtrack,84,516,Lady Gaga|Bradley Cooper
30,84,518,Adele
Icarus Falls,83,529,ZAYN|Sia
After Laughter,83,531,Paramore
TESTING,83,532,A$AP Rocky|Skepta
Meet The Orphans,83,533,Don Omar|Lucenzo
Fetty Wap (Deluxe),83,534,Fetty Wap
LIVE FOREVER,83,535,Lil Peep|rainy bear
